left,right,cosine
2,2,4.000000000000001
218,218,4.000000000000001
70,70,4.000000000000001
45,45,4.000000000000001
77,77,4.000000000000001
198,198,4.000000000000001
148,148,4.000000000000001
85,85,4.000000000000001
31,31,4.000000000000001
104,104,4.0
75,75,4.0
79,79,4.0
78,78,4.0
109,109,4.0
110,110,4.0
111,111,4.0
76,76,4.0
112,112,4.0
73,73,4.0
103,103,4.0
113,113,4.0
69,69,4.0
68,68,4.0
67,67,4.0
66,66,4.0
65,65,4.0
64,64,4.0
81,81,4.0
82,82,4.0
83,83,4.0
84,84,4.0
102,102,4.0
100,100,4.0
99,99,4.0
98,98,4.0
97,97,4.0
96,96,4.0
95,95,4.0
93,93,4.0
105,105,4.0
92,92,4.0
91,91,4.0
88,88,4.0
62,62,4.0
86,86,4.0
107,107,4.0
63,63,4.0
59,59,4.0
61,61,4.0
18,18,4.0
28,28,4.0
27,27,4.0
25,25,4.0
24,24,4.0
22,22,4.0
21,21,4.0
20,20,4.0
19,19,4.0
17,17,4.0
30,30,4.0
13,13,4.0
12,12,4.0
10,10,4.0
9,9,4.0
6,6,4.0
5,5,4.0
4,4,4.0
3,3,4.0
29,29,4.0
32,32,4.0
60,60,4.0
47,47,4.0
116,116,4.0
58,58,4.0
55,55,4.0
54,54,4.0
52,52,4.0
50,50,4.0
49,49,4.0
48,48,4.0
43,43,4.0
33,33,4.0
42,42,4.0
40,40,4.0
39,39,4.0
38,38,4.0
37,37,4.0
36,36,4.0
35,35,4.0
34,34,4.0
115,115,4.0
0,0,4.0
117,117,4.0
207,207,4.0
204,204,4.0
203,203,4.0
202,202,4.0
201,201,4.0
199,199,4.0
193,193,4.0
189,189,4.0
187,187,4.0
186,186,4.0
185,185,4.0
177,177,4.0
176,176,4.0
174,174,4.0
172,172,4.0
118,118,4.0
168,168,4.0
167,167,4.0
165,165,4.0
160,160,4.0
206,206,4.0
208,208,4.0
156,156,4.0
212,212,4.0
247,247,4.0
244,244,4.0
241,241,4.0
240,240,4.0
239,239,4.0
235,235,4.0
234,234,4.0
233,233,4.0
230,230,4.0
229,229,4.0
226,226,4.0
225,225,4.0
224,224,4.0
223,223,4.0
222,222,4.0
221,221,4.0
216,216,4.0
215,215,4.0
214,214,4.0
158,158,4.0
170,170,4.0
137,137,4.0
141,141,4.0
139,139,4.0
138,138,4.0
155,155,4.0
136,136,4.0
135,135,4.0
134,134,4.0
133,133,4.0
132,132,4.0
131,131,4.0
129,129,4.0
128,128,4.0
127,127,4.0
126,126,4.0
125,125,4.0
124,124,4.0
123,123,4.0
122,122,4.0
120,120,4.0
119,119,4.0
140,140,4.0
108,108,4.0
151,151,4.0
152,152,4.0
154,154,4.0
150,150,4.0
147,147,4.0
1,1,3.9999999999999996
74,74,3.9999999999999996
106,106,3.9999999999999996
16,16,3.9999999999999996
14,14,3.9999999999999996
44,44,3.9999999999999996
173,173,3.9999999999999996
238,238,3.9999999999999996
163,163,3.9999999999999996
8,8,3.9999999999999996
7,7,3.9999999999999996
121,121,3.9999999999999996
71,71,3.9999999999999996
159,159,3.9999999999999996
114,114,3.9999999999999996
72,72,3.9999999999999996
23,23,3.9999999999999996
188,188,3.9999999999999996
101,101,3.9999999999999996
41,41,3.9999999999999996
143,143,3.9999999999999996
87,87,3.9999999999999996
144,144,3.9999999999999996
89,89,3.9999999999999996
90,90,3.9999999999999996
145,145,3.9999999999999996
178,178,3.9999999999999996
51,51,3.9999999999999996
209,209,3.9999999999999996
146,146,3.9999999999999996
53,53,3.9999999999999996
130,130,3.9999999999999996
26,26,3.9999999999999996
56,56,3.9999999999999996
157,157,3.9999999999999996
248,248,3.9999999999999996
142,142,3.999999999999999
46,46,3.999999999999999
80,80,3.999999999999999
94,94,3.999999999999999
149,149,3.999999999999999
217,217,3.999999999999999
153,153,3.999999999999999
15,15,3.999999999999999
57,57,3.999999999999999
11,11,3.999999999999999
175,175,3.999999999999999
57,81,3.999526962777878
8,11,3.999398292052577
154,240,3.999085711029006
3,33,3.9989577399223473
66,102,3.9986946625193753
81,176,3.998633734423673
1,5,3.9986320650596987
26,81,3.998550269148356
115,133,3.998477563455444
0,103,3.9984351150371378
10,33,3.9984281800575916
26,115,3.998411449686355
36,135,3.9984103884779074
174,214,3.9983384166847893
26,176,3.9981431638466494
81,115,3.9981414869192093
41,229,3.9981059792572777
83,101,3.9981008174545822
3,51,3.998056446103557
102,222,3.9980234014417597
222,235,3.998014748519141
141,143,3.9979821210593833
81,199,3.9979334720458928
7,36,3.9978514885469147
17,156,3.9978384056712635
217,225,3.997751844559538
33,51,3.997708997052296
118,143,3.9976509377382508
66,155,3.997650194380355
121,174,3.9976308475830544
84,141,3.9976096506134327
5,46,3.997569123556317
3,10,3.9975613173257973
115,168,3.997558743754996
48,176,3.997551666255787
133,168,3.9975217741655484
103,209,3.997495362775547
79,118,3.9974917377741543
1,79,3.9974729336111494
26,168,3.9974482839374197
0,95,3.997439041944393
46,206,3.9974130444800973
1,118,3.997359294727392
102,151,3.9973302202973127
46,118,3.997328058286438
102,235,3.9973152741289417
65,104,3.997305609943629
36,244,3.9973044707618666
26,57,3.9972896360401338
7,244,3.997216229355546
