left,right,cosine
202,202,1.0000000000000004
229,229,1.0000000000000004
148,148,1.0000000000000004
114,114,1.0000000000000004
49,49,1.0000000000000004
50,50,1.0000000000000004
157,157,1.0000000000000002
57,57,1.0000000000000002
53,53,1.0000000000000002
156,156,1.0000000000000002
105,105,1.0000000000000002
144,144,1.0000000000000002
45,45,1.0000000000000002
44,44,1.0000000000000002
173,173,1.0000000000000002
185,185,1.0000000000000002
163,163,1.0000000000000002
142,142,1.0000000000000002
64,64,1.0000000000000002
138,138,1.0000000000000002
137,137,1.0000000000000002
136,136,1.0000000000000002
125,125,1.0000000000000002
123,123,1.0000000000000002
82,82,1.0000000000000002
117,117,1.0000000000000002
89,89,1.0000000000000002
90,90,1.0000000000000002
108,108,1.0000000000000002
106,106,1.0000000000000002
104,104,1.0000000000000002
34,34,1.0000000000000002
165,165,1.0000000000000002
222,222,1.0000000000000002
225,225,1.0000000000000002
217,217,1.0000000000000002
19,19,1.0000000000000002
7,7,1.0000000000000002
17,17,1.0000000000000002
247,247,1.0000000000000002
244,244,1.0000000000000002
72,72,1.0
79,79,1.0
77,77,1.0
76,76,1.0
73,73,1.0
21,21,1.0
81,81,1.0
71,71,1.0
70,70,1.0
68,68,1.0
4,5,1.0
4,188,1.0
4,4,1.0
84,84,1.0
3,188,1.0
97,97,1.0
2,4,1.0
100,100,1.0
2,5,1.0
99,99,1.0
2,188,1.0
98,98,1.0
91,91,1.0
3,5,1.0
3,3,1.0
88,88,1.0
3,4,1.0
86,86,1.0
85,85,1.0
66,66,1.0
5,5,1.0
6,6,1.0
5,188,1.0
1,188,1.0
25,25,1.0
29,29,1.0
30,30,1.0
33,33,1.0
36,36,1.0
18,18,1.0
37,37,1.0
39,39,1.0
41,41,1.0
42,42,1.0
43,43,1.0
16,16,1.0
15,15,1.0
47,47,1.0
14,14,1.0
102,102,1.0
13,13,1.0
12,12,1.0
51,51,1.0
52,52,1.0
11,11,1.0
10,10,1.0
54,54,1.0
55,55,1.0
56,56,1.0
58,58,1.0
59,59,1.0
62,62,1.0
1,2,1.0
101,101,1.0
1,1,1.0
103,103,1.0
206,206,1.0
201,201,1.0
199,199,1.0
198,198,1.0
189,189,1.0
188,188,1.0
187,187,1.0
186,186,1.0
178,178,1.0
176,176,1.0
174,174,1.0
2,2,1.0
167,167,1.0
159,159,1.0
158,158,1.0
154,154,1.0
203,203,1.0
207,207,1.0
150,150,1.0
208,208,1.0
1,3,1.0
1,4,1.0
1,5,1.0
241,241,1.0
240,240,1.0
239,239,1.0
235,235,1.0
234,234,1.0
233,233,1.0
230,230,1.0
226,226,1.0
224,224,1.0
223,223,1.0
218,218,1.0
209,209,1.0
151,151,1.0
172,172,1.0
2,3,1.0
143,143,1.0
127,127,1.0
126,126,1.0
124,124,1.0
